"htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	rights_date_used	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url",,,,,,,,,,,,,,
"coo1.ark:/13960/t2m623920	1	pd	100773444		COO	5437609	34661880				The elements of elocution", with special reference to the literary basis of delivery," including selections in poetry and prose for reading and recitation. A class-book for schools and private students.	G. Philip"," 1890.	bib	2021-01-20 17:16:14	0	1890	enk	eng	BK	COO	cornell	cornell	cornell-ms	open	Clegg"," Charles E.	https://catalog.hathitrust.org/Record/100773444	https://hdl.handle.net/2027/coo1.ark:/13960/t2m623920",,,,,,,,,,
"coo1.ark:/13960/t58d0gk82	1	pdus	100766119		COO	2322437	333057			02014586	The American star speaker and model elocutionist.	M.A. Donohue & co. [c1902]	bib	2015-07-21 03:25:48	0	1902	xx 	eng	BK	COO	cornell	cornell	cornell-ms	open	Brown", Charles Walter," 1866-1934.	https://catalog.hathitrust.org/Record/100766119	https://hdl.handle.net/2027/coo1.ark:/13960/t58d0gk82",,,,,,,,,,,,
"coo1.ark:/13960/t6nz8rs9s	1	pd	100771836		COO	4735850	594119				The Delsarte system of physical culture.	Butterick Pub. Co."," 1893.	bib	2015-07-21 03:26:25	0	1893	nyu	eng	BK	COO	cornell	cornell	cornell-ms	open	Georgen"," Eleanor.	https://catalog.hathitrust.org/Record/100771836	https://hdl.handle.net/2027/coo1.ark:/13960/t6nz8rs9s",,,,,,,,,,,,
"hvd.32044014467336	1	pd	100326522		HVD	003624344	11255854			12005450	The art of oratory", system of Delsarte, from the French of M. l'abbe Delaumosne and Mme. Angelique Arnaud, (pupils of Delsarte). With an essay on the attributes of reason," by Franc̜ois Delsarte. (The only authentic published production from his pen.)	E.S. Werner"," 1884.	bib	2014-10-04 03:28:50	0	1884	nyu	eng	BK	HVD	harvard	harvard	google	google	Delaumosne"," Abb'e.	https://catalog.hathitrust.org/Record/100326522	https://hdl.handle.net/2027/hvd.32044014467336",,,,,,,,
"hvd.32044079736146	1	pd	102675697		HVD	990071926550203941	1036240174				Lectures and practical lessons in the three departments of English literature",elocution, and composition,given during the past twenty years as professor at Antioch College,Yellow Springs,O.; before various institutions and associations in Cincinnati,O.;in Boston,Mass.; and yearly delivered in the Meadville Theological School,Meadville,Penn.,"as non-resident professor.	printed by Rand",Avery,& Frye," 1870.	bib	2020-01-21 03:26:42	0	1870	mau	eng	BK	HVD	harvard	harvard	google	google	Zachos"," J. C. 1820-1898.	https://catalog.hathitrust.org/Record/102675697	https://hdl.handle.net/2027/hvd.32044079736146"
"hvd.32044102875200	1	pd	9720968		HVD	990035144870203941	2328492				Elements of rhetoric : comprising the substance of the article in the Encyclopaedia metropolitana with additions"," &c. / by Richard Whateley.	Printed by W. Baxter for John Murray", London and J. Parker, Oxford," 1828.	bib	2011-08-23 19:30:08	0	1828	enk	eng	BK	HVD	harvard	harvard	google	google	Whately", Richard," 1787-1863	https://catalog.hathitrust.org/Record/9720968	https://hdl.handle.net/2027/hvd.32044102875200",,,,,,,,
"hvd.hn5axc	1	pd	100495414		HVD	006600857	235928603				Reading and elocution: theoretical and practical.	Ivison", Blakeman, Taylor & co.," 1878.	bib	2014-10-21 03:28:06	0	1878	nyu	eng	BK	HVD	harvard	harvard	google	google	Randall Diehl"," Anna.	https://catalog.hathitrust.org/Record/100495414	https://hdl.handle.net/2027/hvd.hn5axc",,,,,,,,,,
"hvd.hwhitn	1	pd	9730199		HVD	002860507	7548894				A practical manual of elocution : embracing voice and gesture : designed for schools", academies and colleges," as well as for private learners / by Merritt Caldwell.	Sorin & Ball"," 1845.	bib	2011-04-29 20:31:59	0	1845	pau	eng	BK	HVD	harvard	harvard	google	google	Caldwell", Merritt," 1806-1848.	https://catalog.hathitrust.org/Record/9730199	https://hdl.handle.net/2027/hvd.hwhitn",,,,,,,,,
"hvd.hwpa7d	1	pd	11549426		HVD	003724069	20659175				The art of elocution : from the simple articulation of the elemental sounds of language"," up to the highest tone of expression in speech attainable by the human voice.	Sold by Sampson", Low," Pref. 1846.	bib	2012-05-14 19:31:31	0	1846	enk	eng	BK	HVD	harvard	harvard	google	google	Vanderhoff", George," 1820-1884.	https://catalog.hathitrust.org/Record/11549426	https://hdl.handle.net/2027/hvd.hwpa7d",,,,,,,,,
"hvd.hwpa9a	1	pd	7693477		HVD	003723796	14088095				The art of elocution; or", logical and musical reading and declamation. With an appendix containing a copious practice in oratorical, poetical, and dramatic reading and recitation; the whole forming a complete speaker, well adapted to private pupils, classes," and the use of schools.	Shepard"," 1847 [c1846]	bib	2012-05-14 19:31:31	0	1846	nyu	eng	BK	HVD	harvard	harvard	google	google	Vandenhoff", George," 1820-1885.	https://catalog.hathitrust.org/Record/7693477	https://hdl.handle.net/2027/hvd.hwpa9a",,,,,
"hvd.hwsk53	1	pd	11630457		HVD	003706675	81703952				Hints on elocution", comprising observations on the improvement and management of the voice, modulation, articulation, etc.; original, compiled and selected from Austin, Blair, Burgh etc.," etc.	G. Biggs"," 1850.	bib	2012-06-04 10:28:11	0	1850	enk	eng	BK	HVD	harvard	harvard	google	google	Smith", Charles William," of-?	https://catalog.hathitrust.org/Record/11630457	https://hdl.handle.net/2027/hvd.hwsk53",,,
"hvd.hwsk57	1	pd	100541956		HVD	001809103	1915102				Practical elocution : for use in colleges and schools and by private students / by J.W. Shoemaker.	National School of Elocution and Oratory",1883," c1878.	bib	2014-10-26 03:25:17	0	1883	pau	eng	BK	HVD	harvard	harvard	google	google	Shoemaker"," J. W. 1842-1880.	https://catalog.hathitrust.org/Record/100541956	https://hdl.handle.net/2027/hvd.hwsk57",,,,,,,,,,,
"hvd.hwsk5u	1	pd	11610722		HVD	002773214	8673880			13003425	Principles of elocution and vocal culture : in which the rules for correct reading and speaking", and directions for improving and strengthening the voice," are given / By Rev. B.W. Atwell.	B. Williams News Co."," 1867.	bib	2012-06-04 10:28:11	0	1867	riu	eng	BK	HVD	harvard	harvard	google	google	Atwell"," Benjamin W.	https://catalog.hathitrust.org/Record/11610722	https://hdl.handle.net/2027/hvd.hwsk5u",,,,,,,,,,
"hvd.hwsk64	1	pd	100140949		HVD	002811610	5528728			11016222	Common school elocution and oratory: a manual of vocal culture based upon scientific principles ... By I. H. Brown.	I. H. Brown & Co."," 1885.	bib	2014-10-26 03:25:17	0	1885	mou	eng	BK	HVD	harvard	harvard	google	google	Brown", Isaac Hinton," 1842-1889.	https://catalog.hathitrust.org/Record/100140949	https://hdl.handle.net/2027/hvd.hwsk64",,,,,,,,,,,
"hvd.hx51z2	1	pd	100548614		HVD	990036079990203941	79422554				The culture of voice and speech; an introductory lecture on elocution"," considered in reference to public & social life.	T.J. Allman"," 1874.	add	2014-12-06 05:25:05	0	1874	enk	eng	BK	HVD	harvard	harvard	google	google	Plumptre", Charles John," 1818-1887.	https://catalog.hathitrust.org/Record/100548614	https://hdl.handle.net/2027/hvd.hx51z2",,,,,,,,,,
"loc.ark:/13960/t00z8fm98	1	pd	100138113		LOC	5969181				39000658	The vestibule of eloquence. Original articles", oratorical and poetical, intended as exercises in recitations, at the Institution, Bedford place," Russell square.	Printed for the author by J. McCreery"," 1810.	bib	2014-02-19 03:41:37	0	1810	enk	eng	BK	ILOC	loc	loc	ia	open	Thelwall", John," 1764-1834.	https://catalog.hathitrust.org/Record/100138113	https://hdl.handle.net/2027/loc.ark:/13960/t00z8fm98",,,,,,
"loc.ark:/13960/t04x6kc12	1	pd	100140948		LOC	6353488	6033750			11010065	Brown's standard elocution and speaker; a thoroughly practical treatise on the science and art of human expression. by Professor I. H. Brown. Rev. and enl. by Charles Walter Brown.	Laird and Lee [c1911]	bib	2014-02-19 03:41:21	0	1911	ilu	eng	BK	ILOC	loc	loc	ia	open	Brown", Isaac Hinton," 1842-1889.	https://catalog.hathitrust.org/Record/100140948	https://hdl.handle.net/2027/loc.ark:/13960/t04x6kc12",,,,,,,,,,,,
"loc.ark:/13960/t0bv8rs7b	1	pd	100138820		LOC	9720962				40023593	Practical elocution:	E. H. Pease"," 1846.	bib	2014-02-19 03:41:19	0	1846	nyu	eng	BK	ILOC	loc	loc	ia	open	Sweet", Samuel Niles," b. 1805.	https://catalog.hathitrust.org/Record/100138820	https://hdl.handle.net/2027/loc.ark:/13960/t0bv8rs7b",,,,,,,,,,,
"loc.ark:/13960/t0ks80001	1	pd	8916752		LOC	9163837	3884350			11016220	Manual of elocution: embracing the philosophy of vocalization... By Prof. C.P. Bronson. Ed. by Laura M. Bronson.	J.P. Morton and company [1873]	bib	2014-02-19 03:41:50	0	1873	kyu	eng	BK	ILOC	loc	loc	ia	open	Bronson"," C. P.	https://catalog.hathitrust.org/Record/8916752	https://hdl.handle.net/2027/loc.ark:/13960/t0ks80001",,,,,,,,,,,,,
"loc.ark:/13960/t1ng5xp4r	1	pd	100138856		LOC	10100607	8348445			11016232	Comstock's elocution and model speaker .../ by Andrew Comstock ; to which is added a complete speaker and reading book of gems by the best authors in prose and verse / by Philip Lawrence.	T.B. Peterson"," 1871.	bib	2014-02-19 03:41:46	0	1871	pau	eng	BK	ILOC	loc	loc	ia	open	Comstock", Andrew," 1795-1864.	https://catalog.hathitrust.org/Record/100138856	https://hdl.handle.net/2027/loc.ark:/13960/t1ng5xp4r",,,,,,,,,,,
"loc.ark:/13960/t2989hq3c	1	pd	100141033		LOC	9169907	535338			13003440	A text-book of elocution", by Maria Porter Brace," A. B. (Mrs. Kimball)	Leach", Shewell," & Sanborn [c1892]	bib	2021-01-20 17:03:19	0	1892	xx 	eng	BK	ILOC	loc	loc	ia	open	Kimball", Maria Porter Brace, Mrs.," 1852-1933.	https://catalog.hathitrust.org/Record/100141033	https://hdl.handle.net/2027/loc.ark:/13960/t2989hq3c",,,,,,,
"loc.ark:/13960/t4qj8q54t	1	pd	100141004		LOC	7296760				13003199	Practical work on elocution","	Crawford mirror print"," 1890.	bib	2014-02-20 03:44:00	0	1890	mou	eng	BK	ILOC	loc	loc	ia	open	Lyon"," O. L. [from old catalog]	https://catalog.hathitrust.org/Record/100141004	https://hdl.handle.net/2027/loc.ark:/13960/t4qj8q54t",,,,,,,,,,,
"loc.ark:/13960/t52f91111	1	pd	100140959		LOC	7758694				11016241	Lessons in elocution"," including vocal and physical culture.	Review and herald steam press"," 1882.	bib	2014-02-20 03:43:59	0	1882	miu	eng	BK	ILOC	loc	loc	ia	open	Dean"," Carrie. [from old catalog]	https://catalog.hathitrust.org/Record/100140959	https://hdl.handle.net/2027/loc.ark:/13960/t52f91111",,,,,,,,,,,
"loc.ark:/13960/t5fb6bv9m	1	pd	100137280		LOC	8233474				13003187	Science and art of elocution.	D. B. Williams"," 1894.	bib	2014-02-20 03:43:54	0	1894	vau	eng	BK	ILOC	loc	loc	ia	open	Williams"," Daniel B. b. 1861.	https://catalog.hathitrust.org/Record/100137280	https://hdl.handle.net/2027/loc.ark:/13960/t5fb6bv9m",,,,,,,,,,,,
"loc.ark:/13960/t5k94gd83	1	pd	100141050		LOC	9295882				49033070	Elocution simplified; or"," How to read and speak correctly and effectively ...	Claremont Manuafacturing Co."," 1884.	bib	2014-02-20 03:43:53	0	1884	nhu	eng	BK	ILOC	loc	loc	ia	open	Kyger"," John Charles Fremont. [from old catalog]	https://catalog.hathitrust.org/Record/100141050	https://hdl.handle.net/2027/loc.ark:/13960/t5k94gd83",,,,,,,,,,,
"loc.ark:/13960/t5x64sd4z	1	pd	100140980		LOC	8131061				unk81000221	An argument for the study of expression...	1896.	bib	2022-01-01 05:31:32	0	1896	xx 	eng	BK	ILOC	loc	loc	ia	open	Fox"," Frank S. [from old catalog]	https://catalog.hathitrust.org/Record/100140980	https://hdl.handle.net/2027/loc.ark:/13960/t5x64sd4z",,,,,,,,,,,,,
"loc.ark:/13960/t9j402197	1	pd	9685927		LOC	6822263	4138085			11016244	An instructive elocution: designed especially for teachers and private learners. By W. H. Fertich.	The author"," 1876.	bib	2014-02-20 03:43:28	0	1876	inu	eng	BK	ILOC	loc	loc	ia	open	Fertich", W. H.," 1847-1915.	https://catalog.hathitrust.org/Record/9685927	https://hdl.handle.net/2027/loc.ark:/13960/t9j402197",,,,,,,,,,,
"mdp.39015014295912	1	pd	1900984		MIU	990019009840106381	4313903				Delsarte system of oratory", including the complete works of M. Fabbe Delaumosne and Mme. Angelique Arnaud (pupils of Delsarte) with the literary remains of François Delsarte, procured of Mme. Delsarte and given literally in Delsarte's own words, without alteration or annotation," and addenda.	E. S. Werner"," 1887.	bib	2018-03-13 03:25:31	0	1887	nyu	eng	BK	MIU	umich	umich	lit-dlps-dc	open	Delaumosne"," abbé.	https://catalog.hathitrust.org/Record/1900984	https://hdl.handle.net/2027/mdp.39015014295912",,,,,,,,
"mdp.39015030866548	1	pd	1438559		MIU	990014385590106381	689797			27025586	Student's class-book of elocution; a manual containing the fundamental principles of the art of expression",#NAME?,#NAME?,"	St. Meinrad's abbey"," 1927.	ren	2013-05-18 05:25:02	0	1927	inu	eng	BK	MIU	umich	umich	google	google	Barthel"," Dominic.	https://catalog.hathitrust.org/Record/1438559	https://hdl.handle.net/2027/mdp.39015030866548",,,,,,,,,
"mdp.39015052562389	1	pd	1438159		MIU	990014381590106381	11015123			27020700	Elocution do's and dont's","	Frederick A. Stokes company [1926]	bib	2022-01-01 11:07:24	0	1926	nyu	eng	BK	MIU	umich	umich	google	google	Bagley"," Louie.	https://catalog.hathitrust.org/Record/1438159	https://hdl.handle.net/2027/mdp.39015052562389",,,,,,,,,,,,
"mdp.39015073717657	1	pd	1172944		MIU	990011729440106381	581470			39033400","39033400 //r51	Bibliography of speech education", compiled by Lester Thonssen [and] Elizabeth Fatherson," with the assistance of Dorothea Thonssen.	Wilson"," 1939.	ren	2010-10-22 05:30:06	0	1939	nyu	eng	BK	MIU	umich	umich	google	google	Thonssen", Lester," 1904-	https://catalog.hathitrust.org/Record/1172944	https://hdl.handle.net/2027/mdp.39015073717657",,,,,,,,
"mdp.39015076438525	1	pd	65838	1885/1894	MIU	990000658380106381	243877210				General catalogue.		bib	2013-04-04 19:25:22	0	1894	xxu	eng	SE	MIU	umich	umich	google	google	Olivet College.	https://catalog.hathitrust.org/Record/65838	https://hdl.handle.net/2027/mdp.39015076438525",,,,,,,,,,,,,,
"msu.31293006398774	1	pdus	100882044		MIEM	b1858083x	11015903				A handbook of elocution; a practical guide to acquiring a distinct and expressive delivery. With an introduction by Sir Edward Clarke.	J. Murray [1924]	bib	2017-02-17 03:27:44	0	1922	enk	eng	BK	MSU	msu	msu	google	google	Minshall"," Edward.	https://catalog.hathitrust.org/Record/100882044	https://hdl.handle.net/2027/msu.31293006398774",,,,,,,,,,,,,
"njp.32101055311094	1	pd	8901323		NJP	5435557	221562253				Lessons in elocution and expressive reading for boys : with a choice selection of extracts for reading and repetition annotated for expression and the analysis of sentences"," illustrating a new theory of emphasis and pauses / by A.K. Isbister.	Longmans", Green, and Co.," 1884.	add	2014-08-12 05:25:02	0	1884	enk	eng	BK	NJP	princeton	princeton	google	google	Isbister", Alexander Kennedy," 1822-1883.	https://catalog.hathitrust.org/Record/8901323	https://hdl.handle.net/2027/njp.32101055311094",,,,,,,,
"njp.32101063583890	1	pd	8916753		NJP	2388265	2768547			12004417	A manual of elocution and reading. Embracing the principles and practice of elocution ... By Edward Brooks ...	Eldredge & brother"," 1882.	bib	2011-02-10 20:32:07	0	1882	pau	eng	BK	NJP	princeton	princeton	google	google	Brooks", Edward," 1831-1912.	https://catalog.hathitrust.org/Record/8916753	https://hdl.handle.net/2027/njp.32101063583890",,,,,,,,,,,
"njp.32101067671543	1	pd	8963329		NJP	2581862	42051030				A help to elocution", containig three essays: I. On reading and declamation ... II. On the marks and characters of the different passions and affections of the mind; III. On composition ... To which is added a very large collection of examples in prose and verse," selected from the best authors ...	Printed for Fielding and Walker ... and J. Macgowan"," 1780.	bib	2010-11-09 20:33:27	0	1780	enk	eng	BK	NJP	princeton	princeton	google	google		https://catalog.hathitrust.org/Record/8963329	https://hdl.handle.net/2027/njp.32101067671543",,,,,,,,,,,
"nyp.33433066603014	1	pdus	8689019		NYP	b130547402	34684611				Greening's popular reciter and the art of elocution and public speaking : being simple explanations of the various branches of elocution : together with lessons for self-instruction / by Ross Ferguson ; with an introduction by George Alexander.	Greening & Co."," 1904.	bib	2010-10-06 20:31:57	0	1904	enk	eng	BK	NYP	nypl	nypl	google	google	Ferguson"," Ross.	https://catalog.hathitrust.org/Record/8689019	https://hdl.handle.net/2027/nyp.33433066603014",,,,,,,,,,,,
"nyp.33433066604699	1	pd	6507262		NYP	b13058664x	2008026			13003195	The essentials of elocution / by Alfred Ayres.	Funk & Wagnalls Company"," c1897.	bib	2010-10-06 20:31:10	0	1897	nyu	eng	BK	NYP	nypl	nypl	google	google	Ayres", Alfred," 1826?-1902.	https://catalog.hathitrust.org/Record/6507262	https://hdl.handle.net/2027/nyp.33433066604699",,,,,,,,,,,
"nyp.33433068278179	1	pd	8627134		NYP	b134774206	38240197				Pulpit elocution: Comprising remarks on the effect of manner in public discourse; the elements of elocution", applied to the reading of the scriptures, hymns," and sermons; with observations on the principles of gesture; and a selection of exercises in reading and speaking.	Draper and Halliday"," 1867.	bib	2010-10-10 20:30:39	0	1867	mau	eng	BK	NYP	nypl	nypl	google	google	Russell"," William.	https://catalog.hathitrust.org/Record/8627134	https://hdl.handle.net/2027/nyp.33433068278179",,,,,,,,,
"nyp.33433069241622	1	pd	8619858		NYP	b133096506	24601567				Exercises in reading and recitation.	Published by the author"," 1828.	bib	2010-10-09 20:34:24	0	1828	mau	eng	BK	NYP	nypl	nypl	google	google	Barber", Jonathan, 1784-1864,"	https://catalog.hathitrust.org/Record/8619858	https://hdl.handle.net/2027/nyp.33433069241622",,,,,,,,,,
"nyp.33433082511753	1	pd	8659387		NYP	b13105949x	36985760				The art of rhetoric made easy: or", The elements of oratory briefly stated, and fitted for the practice of the studious youth of Great Britain and Ireland: in two books. The first comprehending the principles of that excellent art, conformable to, and supported by the authority of the most accurate orators and rhetoricians," both ancient and modern ... The second containing the substance of Longinus's celebrated treatise On the sublime. In both which all technical terms are fully explained. The second impression corrected and improved. By John Holmes ...	Printed for and sold by C. Hitch", and L. Hawes," 1755.	bib	2010-10-06 20:31:43	0	1755	enk	eng	BK	NYP	nypl	nypl	google	google	Holmes", John," 1703-1759.	https://catalog.hathitrust.org/Record/8659387	https://hdl.handle.net/2027/nyp.33433082511753",,,,,
"osu.32435002646396	1	pd	7659970		OU	b26672182	689818				Elocution", voice & gesture. Illustrated by pieces, annotated with inflections, emphasis," pauses and gesture. By Rupert Garry.	Bemrose and Sons"," 1888.	bib	2021-01-20 16:45:00	0	1888	enk	eng	BK	OSU	osu	osu	google	google	Garry"," Rupert.	https://catalog.hathitrust.org/Record/7659970	https://hdl.handle.net/2027/osu.32435002646396",,,,,,,,
"osu.32435013263355	1	pd	102419342		OU	b31148475	23071849				The art of speaking in publick; or", An essay on the action of an orator : as to his pronunciation and gesture : useful in the senate or theatre, the court, the camp," as well as the bar and pulpit : with an introduction relating to the famous Mr. Henly's [sic] present oratory.	Printed for N. Cox", in Story's Passage, Westminster, and sold by him and the booksellers in London, Oxford and Cambridge," 1727.	bib	2018-07-05 03:25:42	0	1727	enk	eng	BK	OSU	osu	osu	google	google	Henley", John," 1692-1756.	https://catalog.hathitrust.org/Record/102419342	https://hdl.handle.net/2027/osu.32435013263355",,,
"osu.32435083480921	1	pd	100595021		OU	b6964858x	50248847				The academic Cicero; or exercises in modern oratory : containing specimens of the bar", the pulpit, the senate, the stage," and popular assemblies; with historical illustrations in the form of notes. To which is prefixed an abridgment of Walker's Elements of Elocution / by Robert James Ball.	John Cumming"," 1823.	bib	2014-12-09 03:26:02	0	1823	ir 	eng	BK	OSU	osu	osu	google	google	Ball"," R. J.	https://catalog.hathitrust.org/Record/100595021	https://hdl.handle.net/2027/osu.32435083480921",,,,,,,,
"uc1.$b257911	1	pd	6507175		UC	b124073451","GLAD17049245-B	30612091				A system of rhetoric", in a method entirely new; ccontaining all the tropes and figures necessary to illustrate the classics, both poetical and historical. By John Sterling, M.A. To which is added, The art of rhetoric made easy, or The elements of oratory ... illustrated with proper examples to each figure," and a collection of speeches from the best English authors. By John Holmes.	A. Stewart"," 1806.	bib	2013-09-28 19:26:31	0	1806	ie 	eng	BK	NRLF	universityofcalifornia	universityofcalifornia	google	google	Stirling", John," -1777.	https://catalog.hathitrust.org/Record/6507175	https://hdl.handle.net/2027/uc1.$b257911",,,,
"uc1.$b273632	1	pd	6517369		UC	GLAD17155232-B	2713825				School elocution; a manual of vocal training in high schools", normal schools, and academies," by John Swett ...	American book company"," [c1884]	bib	2013-09-28 19:27:02	0	1884	nyu	eng	BK	NRLF	universityofcalifornia	universityofcalifornia	google	google	Swett", John," 1830-1913.	https://catalog.hathitrust.org/Record/6517369	https://hdl.handle.net/2027/uc1.$b273632",,,,,,,,
"uc1.$b662809	1	pd	7692551		UC	b169930609	9137250				Hints on elocution", and how to become an actor, original and compiled by Chas. W. Smith," with many additions by A. D. Ames.	A. D. Ames"," [c1871]	bib	2010-12-09 20:39:55	0	1871	ohu	eng	BK	NRLF	universityofcalifornia	universityofcalifornia	google	google	Smith"," Charles William.	https://catalog.hathitrust.org/Record/7692551	https://hdl.handle.net/2027/uc1.$b662809",,,,,,,,,
"uc1.b4498124	1	pd	6248971		UC	b131783221","GLAD50476013-B	3385477			12005359	An hour with Delsarte; a study of expression"," by Anna Morgan. Illustrated by Rose Mueller Sprague and Marian Reynolds.	Lee and Shepard"," 1889.	bib	2010-09-14 19:30:17	0	1889	mau	eng	BK	NRLF	universityofcalifornia	universityofcalifornia	google	google	Morgan", Anna," d. 1936.	https://catalog.hathitrust.org/Record/6248971	https://hdl.handle.net/2027/uc1.b4498124",,,,,,,,,
"uc2.ark:/13960/t53f4q13p	1	pd	8654039		UC	b147672326	11041668				New science of elocution. The elements and principles of vocal expression in lessons"," with exercises and selections systematically arranged for acquiring the art of reading and speaking. By S. S. Hamill.	Eaton & Mains"," [c1886]	bib	2011-02-03 19:30:20	0	1886	nyu	eng	BK	INRLF	universityofcalifornia	universityofcalifornia	ia	open	Hamill"," S. S.	https://catalog.hathitrust.org/Record/8654039	https://hdl.handle.net/2027/uc2.ark:/13960/t53f4q13p",,,,,,,,,,,
"uc2.ark:/13960/t7dr2sp5p	1	pd	1363718	v.2	UC	3558227	6783778				Elements of elocution. Being the substance of a course of lectures on the art of reading"," delivered at several colleges in the University of Oxford. By J. Walker.	Printed for the author", and sold by T. Cadell, T. Becket, G. Robinson, J. Dodsley," 1781.	bib	2010-04-30 19:31:33	0	1781	enk	eng	BK	ISRLF	universityofcalifornia	universityofcalifornia	ia	open	Walker", John," 1732-1807.	https://catalog.hathitrust.org/Record/1363718	https://hdl.handle.net/2027/uc2.ark:/13960/t7dr2sp5p",,,,,,
"uc2.ark:/13960/t83j3c042	1	pdus	7658967		UC	1326270	11016004				A manual of elocution", adapted and arranged for the class-room, drawing-room," and the platform with rules and exercises.	Dent"," 1903.	bib	2010-05-03 20:31:58	0	1903	enk	eng	BK	ISRLF	universityofcalifornia	universityofcalifornia	ia	open	Forsyth", John," teacher of elocution.	https://catalog.hathitrust.org/Record/7658967	https://hdl.handle.net/2027/uc2.ark:/13960/t83j3c042",,,,,,,,
"uiug.30112052716039	1	pdus	100605023		UIU	2522291	6309812				Elocution and stage training.	""The Era"""," 1901.	bib	2015-02-16 03:25:25	0	1901	enk	eng	BK	UIUC	illinois	illinois	google	google	Ryder"," Maxwell.	https://catalog.hathitrust.org/Record/100605023	https://hdl.handle.net/2027/uiug.30112052716039",,,,,,,,,,,,
"uiug.30112067645124	1	pd	102853974		UIU	99954855700105899	264323292				Outlines of the art of elocution.	1883.	bib	2022-04-03 03:25:06	0	1883	enk	eng	BK	UIUC	illinois	illinois	google	google	Ohlson"," James L.	https://catalog.hathitrust.org/Record/102853974	https://hdl.handle.net/2027/uiug.30112067645124",,,,,,,,,,,,,
"uiug.30112114853655	1	pd	100608355		UIU	2041625	34069079				The new hand-book of elocution"," with rules for audible and correct pronunciation in reading and spelling.	Porteous Brothers"," 1876.	bib	2017-01-01 12:19:16	0	1876	stk	eng	BK	UIUC	illinois	illinois	google	google	Baynham"," George Walter.	https://catalog.hathitrust.org/Record/100608355	https://hdl.handle.net/2027/uiug.30112114853655",,,,,,,,,,,
